assignment_id,crew_id,flight_id,role,report_time,scheduled_release,connection_minutes,sequence
A1,C235,F160,CAPTAIN,2026-08-12T04:39:00,2026-08-12T08:04:00,72,1
A2,C235,F162,CAPTAIN,2026-08-12T04:45:00,2026-08-12T10:58:00,72,2
A3,C172,F160,FIRST_OFFICER,2026-08-12T04:39:00,2026-08-12T08:04:00,67,1
A4,C116,F160,FLIGHT_ATTENDANT,2026-08-12T04:54:00,2026-08-12T08:04:00,53,1
A5,C247,F160,FLIGHT_ATTENDANT,2026-08-12T04:54:00,2026-08-12T08:04:00,65,1
A6,C085,F160,FLIGHT_ATTENDANT,2026-08-12T04:54:00,2026-08-12T08:04:00,71,1
A7,C165,F160,FLIGHT_ATTENDANT,2026-08-12T04:54:00,2026-08-12T08:04:00,68,1
A8,C239,F162,CAPTAIN,2026-08-12T04:45:00,2026-08-12T10:58:00,73,1
A9,C239,F129,CAPTAIN,2026-08-12T04:51:00,2026-08-12T07:28:00,73,2
A10,C108,F162,FIRST_OFFICER,2026-08-12T04:45:00,2026-08-12T10:58:00,78,1
A11,C108,F129,FIRST_OFFICER,2026-08-12T04:51:00,2026-08-12T07:28:00,78,2
A12,C249,F162,FLIGHT_ATTENDANT,2026-08-12T05:00:00,2026-08-12T10:58:00,34,1
A13,C114,F162,FLIGHT_ATTENDANT,2026-08-12T05:00:00,2026-08-12T10:58:00,51,1
A14,C005,F162,FLIGHT_ATTENDANT,2026-08-12T05:00:00,2026-08-12T10:58:00,47,1
A15,C132,F129,CAPTAIN,2026-08-12T04:51:00,2026-08-12T07:28:00,75,1
A16,C132,F134,CAPTAIN,2026-08-12T04:51:00,2026-08-12T11:25:00,75,2
A17,C001,F129,FIRST_OFFICER,2026-08-12T04:51:00,2026-08-12T07:28:00,52,1
A18,C001,F134,FIRST_OFFICER,2026-08-12T04:51:00,2026-08-12T11:25:00,52,2
A19,C083,F129,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T07:28:00,75,1
A20,C237,F129,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T07:28:00,71,1
A21,C031,F129,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T07:28:00,49,1
A22,C226,F134,CAPTAIN,2026-08-12T04:51:00,2026-08-12T11:25:00,47,1
A23,C226,F119,CAPTAIN,2026-08-12T05:05:00,2026-08-12T10:28:00,47,2
A24,C229,F134,FIRST_OFFICER,2026-08-12T04:51:00,2026-08-12T11:25:00,83,1
A25,C229,F119,FIRST_OFFICER,2026-08-12T05:05:00,2026-08-12T10:28:00,83,2
A26,C207,F134,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T11:25:00,33,1
A27,C196,F134,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T11:25:00,68,1
A28,C158,F134,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T11:25:00,55,1
A29,C093,F134,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T11:25:00,72,1
A30,C150,F134,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T11:25:00,50,1
A31,C022,F134,FLIGHT_ATTENDANT,2026-08-12T05:06:00,2026-08-12T11:25:00,73,1
A32,C189,F119,CAPTAIN,2026-08-12T05:05:00,2026-08-12T10:28:00,43,1
A33,C038,F119,FIRST_OFFICER,2026-08-12T05:05:00,2026-08-12T10:28:00,76,1
A34,C250,F119,FLIGHT_ATTENDANT,2026-08-12T05:20:00,2026-08-12T10:28:00,48,1
A35,C185,F119,FLIGHT_ATTENDANT,2026-08-12T05:20:00,2026-08-12T10:28:00,46,1
A36,C162,F119,FLIGHT_ATTENDANT,2026-08-12T05:20:00,2026-08-12T10:28:00,56,1
A37,C072,F183,CAPTAIN,2026-08-12T05:05:00,2026-08-12T11:07:00,60,1
A38,C072,F121,CAPTAIN,2026-08-12T05:09:00,2026-08-12T07:55:00,60,2
A39,C121,F183,FIRST_OFFICER,2026-08-12T05:05:00,2026-08-12T11:07:00,37,1
A40,C048,F183,FLIGHT_ATTENDANT,2026-08-12T05:20:00,2026-08-12T11:07:00,66,1
A41,C190,F183,FLIGHT_ATTENDANT,2026-08-12T05:20:00,2026-08-12T11:07:00,42,1
A42,C049,F183,FLIGHT_ATTENDANT,2026-08-12T05:20:00,2026-08-12T11:07:00,51,1
A43,C213,F183,FLIGHT_ATTENDANT,2026-08-12T05:20:00,2026-08-12T11:07:00,75,1
A44,C209,F121,CAPTAIN,2026-08-12T05:09:00,2026-08-12T07:55:00,49,1
A45,C079,F121,FIRST_OFFICER,2026-08-12T05:09:00,2026-08-12T07:55:00,75,1
A46,C177,F121,FLIGHT_ATTENDANT,2026-08-12T05:24:00,2026-08-12T07:55:00,72,1
A47,C077,F121,FLIGHT_ATTENDANT,2026-08-12T05:24:00,2026-08-12T07:55:00,52,1
A48,C050,F121,FLIGHT_ATTENDANT,2026-08-12T05:24:00,2026-08-12T07:55:00,62,1
A49,C025,F140,CAPTAIN,2026-08-12T05:15:00,2026-08-12T09:34:00,54,1
A50,C076,F140,FIRST_OFFICER,2026-08-12T05:15:00,2026-08-12T09:34:00,88,1
A51,C152,F140,FLIGHT_ATTENDANT,2026-08-12T05:30:00,2026-08-12T09:34:00,65,1
A52,C191,F140,FLIGHT_ATTENDANT,2026-08-12T05:30:00,2026-08-12T09:34:00,41,1
A53,C068,F140,FLIGHT_ATTENDANT,2026-08-12T05:30:00,2026-08-12T09:34:00,48,1
A54,C167,F182,CAPTAIN,2026-08-12T06:34:00,2026-08-12T11:02:00,41,1
A55,C110,F182,FIRST_OFFICER,2026-08-12T06:34:00,2026-08-12T11:02:00,82,1
A56,C110,F106,FIRST_OFFICER,2026-08-12T06:36:00,2026-08-12T10:27:00,82,2
A57,C002,F182,FLIGHT_ATTENDANT,2026-08-12T06:49:00,2026-08-12T11:02:00,65,1
A58,C138,F182,FLIGHT_ATTENDANT,2026-08-12T06:49:00,2026-08-12T11:02:00,41,1
A59,C065,F182,FLIGHT_ATTENDANT,2026-08-12T06:49:00,2026-08-12T11:02:00,73,1
A60,C240,F182,FLIGHT_ATTENDANT,2026-08-12T06:49:00,2026-08-12T11:02:00,51,1
A61,C149,F106,CAPTAIN,2026-08-12T06:36:00,2026-08-12T10:27:00,76,1
A62,C149,F109,CAPTAIN,2026-08-12T06:41:00,2026-08-12T13:03:00,76,2
A63,C171,F106,FIRST_OFFICER,2026-08-12T06:36:00,2026-08-12T10:27:00,57,1
