crew_id,role,base,current_location,aircraft_qualifications,duty_start,accumulated_duty_minutes,max_duty_minutes,min_rest_minutes,reserve_status,availability,pairing_id
C001,FIRST_OFFICER,MIA,LGA,"[""B737""]",2026-08-12T07:21:00,151,600,480,False,True,
C002,FLIGHT_ATTENDANT,DFW,DFW,"[""A321"", ""B787"", ""B737""]",2026-08-12T07:52:00,83,600,480,False,True,
C003,FIRST_OFFICER,MIA,PHX,"[""B737""]",2026-08-12T06:59:00,57,600,480,False,True,
C004,FLIGHT_ATTENDANT,ORD,ORD,"[""B787"", ""B737"", ""A320"", ""A321""]",2026-08-12T09:42:00,29,600,480,False,True,
C005,FLIGHT_ATTENDANT,CLT,SEA,"[""B737"", ""A321"", ""B787"", ""A320""]",2026-08-12T08:56:00,6,600,480,False,True,
C006,FLIGHT_ATTENDANT,MIA,MIA,"[""B787"", ""B737"", ""A321"", ""A320""]",2026-08-12T08:49:00,10,600,480,False,True,
C007,FIRST_OFFICER,CLT,ORD,"[""A321""]",2026-08-12T07:05:00,162,600,480,False,True,
C008,CAPTAIN,DFW,DEN,"[""A321"", ""B787""]",2026-08-12T07:43:00,151,600,480,False,True,
C009,FLIGHT_ATTENDANT,ORD,ORD,"[""A321"", ""B787"", ""B737""]",2026-08-12T08:13:00,83,600,480,True,True,
C010,FLIGHT_ATTENDANT,CLT,SEA,"[""B737"", ""A320"", ""A321""]",2026-08-12T04:43:00,61,600,480,False,True,
C011,FLIGHT_ATTENDANT,MIA,ATL,"[""B737"", ""B787""]",2026-08-12T05:53:00,103,600,480,False,True,
C012,FLIGHT_ATTENDANT,MIA,DEN,"[""A320"", ""B787"", ""A321""]",2026-08-12T06:18:00,78,600,480,False,True,
C013,CAPTAIN,ORD,DEN,"[""B787""]",2026-08-12T05:50:00,123,600,480,False,True,
C014,FLIGHT_ATTENDANT,CLT,DFW,"[""A320"", ""B737""]",2026-08-12T06:34:00,3,600,480,False,True,
C015,CAPTAIN,ORD,PHX,"[""A321""]",2026-08-12T04:52:00,3,600,480,False,True,
C016,FIRST_OFFICER,DFW,ORD,"[""B737""]",2026-08-12T07:25:00,125,600,480,True,True,
C017,CAPTAIN,DFW,DFW,"[""B737""]",2026-08-12T08:45:00,106,600,480,False,True,
C018,CAPTAIN,MIA,BOS,"[""A320"", ""A321""]",2026-08-12T09:17:00,15,600,480,False,True,
C019,FLIGHT_ATTENDANT,DFW,ATL,"[""B737"", ""A321"", ""A320"", ""B787""]",2026-08-12T08:42:00,19,600,480,True,True,
C020,FLIGHT_ATTENDANT,MIA,MIA,"[""A320"", ""A321"", ""B787""]",2026-08-12T04:36:00,175,600,480,False,True,
C021,FLIGHT_ATTENDANT,DFW,DFW,"[""B787"", ""A321""]",2026-08-12T05:12:00,18,600,480,True,True,
C022,FLIGHT_ATTENDANT,CLT,BOS,"[""A320"", ""A321"", ""B787"", ""B737""]",2026-08-12T08:16:00,138,600,480,False,True,
C023,CAPTAIN,MIA,LAX,"[""B737"", ""A321""]",2026-08-12T05:57:00,172,600,480,False,True,
C024,FLIGHT_ATTENDANT,CLT,CLT,"[""A321"", ""B787"", ""B737""]",2026-08-12T08:59:00,111,600,480,False,True,
C025,CAPTAIN,CLT,JFK,"[""B787""]",2026-08-12T06:48:00,105,600,480,False,True,
C026,FLIGHT_ATTENDANT,ORD,BOS,"[""A320"", ""B737"", ""B787""]",2026-08-12T08:23:00,0,600,480,False,True,
C027,FIRST_OFFICER,DFW,LAX,"[""A321"", ""B737""]",2026-08-12T05:44:00,68,600,480,False,False,
C028,FIRST_OFFICER,MIA,ORD,"[""B787""]",2026-08-12T06:39:00,141,600,480,True,True,
C029,CAPTAIN,ORD,DFW,"[""A321""]",2026-08-12T06:29:00,130,600,480,False,True,
C030,FIRST_OFFICER,MIA,BOS,"[""A321""]",2026-08-12T05:37:00,153,600,480,False,True,
C031,FLIGHT_ATTENDANT,CLT,LAX,"[""B737"", ""B787"", ""A320""]",2026-08-12T09:00:00,148,600,480,False,True,
C032,CAPTAIN,MIA,LGA,"[""A321"", ""B787""]",2026-08-12T05:36:00,178,600,480,False,True,
C033,FLIGHT_ATTENDANT,MIA,LAX,"[""A321"", ""B787"", ""B737""]",2026-08-12T08:13:00,9,600,480,True,False,
