flight_id,flight_number,origin,destination,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_minutes,aircraft_type,passenger_count,status,cancellation_cost,delay_cost_per_minute
F160,AA1060,ORD,JFK,2026-08-12T05:39:00,2026-08-12T08:04:00,,,0,A321,142,SCHEDULED,38557,135
F162,AA1062,CLT,MIA,2026-08-12T05:45:00,2026-08-12T10:58:00,,,0,B737,138,SCHEDULED,53287,105
F129,AA1029,JFK,CLT,2026-08-12T05:51:00,2026-08-12T07:28:00,,,0,B737,153,SCHEDULED,33491,101
F134,AA1034,ORD,BOS,2026-08-12T05:51:00,2026-08-12T11:25:00,,,0,B787,199,SCHEDULED,51281,90
F119,AA1019,ORD,CLT,2026-08-12T06:05:00,2026-08-12T10:28:00,,,0,B737,142,SCHEDULED,54301,109
F183,AA1083,LAX,DFW,2026-08-12T06:05:00,2026-08-12T11:07:00,,,0,A321,141,SCHEDULED,53560,139
F121,AA1021,ORD,LGA,2026-08-12T06:09:00,2026-08-12T07:55:00,,,0,A320,101,SCHEDULED,51695,110
F140,AA1040,PHX,ORD,2026-08-12T06:15:00,2026-08-12T09:34:00,,,0,A320,105,SCHEDULED,40872,88
F182,AA1082,DFW,PHX,2026-08-12T07:34:00,2026-08-12T11:02:00,,,0,A321,164,SCHEDULED,28014,107
F106,AA1006,CLT,DFW,2026-08-12T07:36:00,2026-08-12T10:27:00,,,0,A321,158,SCHEDULED,22163,129
F109,AA1009,MIA,ORD,2026-08-12T07:41:00,2026-08-12T13:03:00,,,0,B737,151,SCHEDULED,35261,144
F131,AA1031,MIA,LGA,2026-08-12T07:48:00,2026-08-12T12:32:00,,,0,B737,129,SCHEDULED,35380,138
F116,AA1016,ORD,MIA,2026-08-12T07:49:00,2026-08-12T11:34:00,,,0,A321,133,SCHEDULED,53343,105
F145,AA1045,DFW,SEA,2026-08-12T08:28:00,2026-08-12T12:13:00,,,0,A321,136,SCHEDULED,21329,91
F133,AA1033,JFK,MIA,2026-08-12T08:42:00,2026-08-12T10:41:00,,,0,B737,152,SCHEDULED,38552,87
F171,AA1071,PHX,DFW,2026-08-12T08:50:00,2026-08-12T12:01:00,,,0,B787,195,SCHEDULED,21028,111
F138,AA1038,CLT,PHX,2026-08-12T09:04:00,2026-08-12T12:49:00,,,0,A321,128,SCHEDULED,37660,138
F123,AA1023,ORD,LAX,2026-08-12T09:08:00,2026-08-12T14:40:00,,,0,A321,132,SCHEDULED,24181,92
F128,AA1028,DFW,JFK,2026-08-12T09:15:00,2026-08-12T11:23:00,,,0,A321,171,SCHEDULED,54066,92
F103,AA1003,DFW,LAX,2026-08-12T09:31:00,2026-08-12T12:12:00,,,0,B787,263,SCHEDULED,53322,113
F181,AA1081,SEA,ORD,2026-08-12T09:38:00,2026-08-12T13:59:00,,,0,A320,131,SCHEDULED,23280,97
F180,AA1080,BOS,ORD,2026-08-12T09:41:00,2026-08-12T14:56:00,,,0,B737,150,SCHEDULED,36725,110
F122,AA1022,SEA,MIA,2026-08-12T09:45:00,2026-08-12T15:23:00,,,0,B787,261,SCHEDULED,26671,140
F132,AA1032,LGA,DFW,2026-08-12T09:52:00,2026-08-12T14:58:00,,,0,A321,129,SCHEDULED,30445,117
F139,AA1039,MIA,CLT,2026-08-12T10:23:00,2026-08-12T12:30:00,,,0,B737,134,SCHEDULED,54896,92
F165,AA1065,BOS,CLT,2026-08-12T10:34:00,2026-08-12T15:30:00,,,0,A320,132,SCHEDULED,26341,104
F156,AA1056,LGA,MIA,2026-08-12T10:58:00,2026-08-12T15:04:00,,,0,B787,220,SCHEDULED,19550,104
F152,AA1052,LGA,CLT,2026-08-12T11:02:00,2026-08-12T16:00:00,,,0,B787,222,SCHEDULED,28649,102
F163,AA1063,ORD,DFW,2026-08-12T11:12:00,2026-08-12T16:22:00,,,0,B737,147,SCHEDULED,39639,120
F107,AA1007,MIA,DFW,2026-08-12T11:30:00,2026-08-12T16:59:00,,,0,A320,132,SCHEDULED,18752,94
F157,AA1057,LGA,ORD,2026-08-12T11:48:00,2026-08-12T16:06:00,,,0,A320,101,SCHEDULED,36292,124
F101,AA1001,ATL,CLT,2026-08-12T11:50:00,2026-08-12T15:37:00,,,0,B737,118,SCHEDULED,38622,107
F136,AA1036,ORD,ATL,2026-08-12T11:53:00,2026-08-12T14:24:00,,,0,B787,266,SCHEDULED,20604,90
F130,AA1030,SEA,DFW,2026-08-12T11:56:00,2026-08-12T17:34:00,,,0,A321,133,SCHEDULED,44282,87
F184,AA1084,BOS,DFW,2026-08-12T12:05:00,2026-08-12T14:06:00,,,0,B787,245,SCHEDULED,43524,82
F137,AA1037,MIA,CLT,2026-08-12T12:09:00,2026-08-12T18:06:00,,,0,A320,113,SCHEDULED,31386,120
F166,AA1066,MIA,SEA,2026-08-12T12:10:00,2026-08-12T16:54:00,,,0,B787,270,SCHEDULED,37723,131
F150,AA1050,MIA,ORD,2026-08-12T12:20:00,2026-08-12T14:55:00,,,0,B737,124,SCHEDULED,41897,85
F127,AA1027,CLT,DEN,2026-08-12T12:39:00,2026-08-12T15:20:00,,,0,A321,131,SCHEDULED,36254,139
F187,AA1087,DEN,MIA,2026-08-12T13:19:00,2026-08-12T16:41:00,,,0,A320,124,SCHEDULED,49827,83
F105,AA1005,DFW,MIA,2026-08-12T13:41:00,2026-08-12T19:23:00,,,0,B737,153,SCHEDULED,21087,94
F169,AA1069,MIA,LAX,2026-08-12T13:43:00,2026-08-12T19:15:00,,,0,B787,276,SCHEDULED,23557,116
F170,AA1070,CLT,LGA,2026-08-12T13:47:00,2026-08-12T18:08:00,,,0,B737,153,SCHEDULED,33392,119
F149,AA1049,DFW,CLT,2026-08-12T14:18:00,2026-08-12T16:06:00,,,0,A320,134,SCHEDULED,54210,98
F167,AA1067,LAX,CLT,2026-08-12T14:21:00,2026-08-12T15:51:00,,,0,A320,115,SCHEDULED,31774,135
F120,AA1020,PHX,MIA,2026-08-12T15:02:00,2026-08-12T18:24:00,,,0,B737,109,SCHEDULED,21858,109
F161,AA1061,PHX,CLT,2026-08-12T15:20:00,2026-08-12T21:11:00,,,0,B737,129,SCHEDULED,30457,112
F111,AA1011,DFW,ORD,2026-08-12T15:23:00,2026-08-12T18:34:00,,,0,B787,239,SCHEDULED,28587,149
F146,AA1046,DFW,CLT,2026-08-12T15:49:00,2026-08-12T20:55:00,,,0,A320,99,SCHEDULED,18232,122
F158,AA1058,MIA,PHX,2026-08-12T15:56:00,2026-08-12T21:46:00,,,0,A321,163,SCHEDULED,53141,122
